"","ID","gender","attitude","speaker","item","meanf0","articulationRate","f0Span","N.x","H1_H2","N.y","meanIntensity","N"
"1","F0_1_Def","F","Def","F0",1,223.972727272727,5.91715976331361,74.425,11,8.3901630795,12,63.6020909090909,11
"2","F0_1_Non","F","Non","F0",1,221.109090909091,6.32911392405063,115.745,11,3.42148018308333,12,64.482,11
"3","F0_10_Def","F","Def","F0",10,231.922222222222,5.11363636363636,67.465,9,7.53751630511111,9,63.4671111111111,9
"4","F0_10_Non","F","Non","F0",10,216.688888888889,6.38297872340425,83.675,9,2.26155851044444,9,65.9785555555556,9
"5","F0_2_Def","F","Def","F0",2,226.2625,5.09554140127389,96.7,8,3.127515228875,8,63.519625,8
"6","F0_2_Non","F","Non","F0",2,219.6,5.75539568345324,80.4,8,2.858119735875,8,66.750375,8
"7","F0_3_Def","F","Def","F0",3,238.877777777778,6.0893098782138,84.11,9,12.68447699,9,60.2083333333333,9
"8","F0_3_Non","F","Non","F0",3,204.366666666667,6.12244897959184,126.15,9,8.53786598866667,9,62.0555555555556,9
"9","F0_4_Def","F","Def","F0",4,218.772727272727,6.01421541826134,67.7,11,7.97151662054545,11,64.341,11
"10","F0_4_Non","F","Non","F0",4,210.136363636364,6.81959082455053,89.83,11,2.42745851654545,11,62.5836363636364,11
"11","F0_5_Def","F","Def","F0",5,248.6625,6.08365019011407,66.435,8,13.5461025198889,9,58.9127777777778,9
"12","F0_5_Non","F","Non","F0",5,238.744444444444,7.40740740740741,100.265,9,3.33943281244444,9,67.3323333333333,9
"13","F0_6_Def","F","Def","F0",6,227.981818181818,5.74712643678161,104.61,11,8.25547744325,12,66.1255454545455,11
"14","F0_6_Non","F","Non","F0",6,217.654545454545,6.78175092478422,87.425,11,2.72256765808333,12,66.6627272727273,11
"15","F0_7_Def","F","Def","F0",7,216.36,5.37056928034372,71.66,10,5.76004214490909,11,59.6275,10
"16","F0_7_Non","F","Non","F0",7,202.39,5.77034045008656,70.64,10,2.357586587,11,61.0527,10
"17","F0_8_Def","F","Def","F0",8,219.7,6.3006300630063,62.375,7,7.54705960075,8,55.913125,8
"18","F0_8_Non","F","Non","F0",8,228.828571428571,7.30688935281837,90.305,7,0.09097525425,8,63.115,8
"19","F0_9_Def","F","Def","F0",9,225.671428571429,5.34351145038168,65.75,7,8.71066027528571,7,62.8333333333333,6
"20","F0_9_Non","F","Non","F0",9,227.057142857143,6.32911392405063,74.255,7,4.82406090971429,7,67.6385,6
"21","F1_1_Def","F","Def","F1",1,245.872727272727,6.21468926553672,44.805,11,9.6223804855,12,62.6260909090909,11
"22","F1_1_Non","F","Non","F1",1,236.827272727273,8.46153846153846,71.03,11,8.5020191805,12,61.6960909090909,11
"23","F1_10_Def","F","Def","F1",10,256.611111111111,5.49450549450549,61.5699999999999,9,8.92249727566667,9,58.2153333333333,9
"24","F1_10_Non","F","Non","F1",10,242.066666666667,6.77710843373494,52.565,9,7.84234603788889,9,59.9775555555556,9
"25","F1_2_Def","F","Def","F1",2,241.828571428571,4.72972972972973,58.675,7,7.35144782075,8,62.05725,8
"26","F1_2_Non","F","Non","F1",2,238.5875,6.6722268557131,25.4099999999999,8,4.2596802715,8,62.82325,8
"27","F1_3_Def","F","Def","F1",3,241.655555555556,6.8649885583524,52.965,9,9.51211555855556,9,59.7871111111111,9
"28","F1_3_Non","F","Non","F1",3,244.688888888889,8.1008100810081,80.99,9,9.84590647111111,9,59.7351111111111,9
"29","F1_4_Def","F","Def","F1",4,244.41,5.65291124929339,69.925,10,9.3178919261,10,62.5411,10
"30","F1_4_Non","F","Non","F1",4,229.61,7.10732054015636,73.77,10,4.3568874938,10,62.5572,10
"31","F1_5_Def","F","Def","F1",5,252,6.78221552373775,40.565,9,8.11412241188889,9,61.8124444444444,9
"32","F1_5_Non","F","Non","F1",5,245.077777777778,8.18926296633303,32.5099999999999,9,5.48237093288889,9,62.8795555555556,9
"33","F1_6_Def","F","Def","F1",6,243.55,6.83994528043776,53.67,10,9.01346645391667,12,60.8336363636364,11
