FileName,SyllableNo,Syllable,SylStartTime,SylEndTime,SylDuration,WordNo,Word,WordStartTime,WordEndTime,WordDuration,SylMeanPitch,SylPitchStandardDeviation,SylMaxPitch,SylMinPitch,SylStartPitch,SylEndPitch,SylPitchPointNum,SylPitchError,SylPitchStartTime,SylPitchEndTime,SylPitchDuration,PitchValue1,PitchValue2,PitchValue3,PitchValue4,PitchValue5,PitchValue6,PitchValue7,PitchValue8,PitchValue9,PitchValue10
F0_10_Def,1,sil,0,0.055,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,
F0_10_Def,S001,dan4,0.055,0.135,0.08,2,但,0.055,0.135,0.08,251.2,4.1,259.1,245.6,259.1,245.9,10,0,0.071,0.117,0.046,257.1,254.6,253.3,252.4,251.9,250.7,248.5,248.4,247.5,245.8
F0_10_Def,S002,shi,0.135,0.355,0.22,3,是,0.135,0.355,0.22,249.9,11.4,262.3,230.4,235.7,249.3,14,1,0.153,0.337,0.183,232.1,233.8,238.3,242.8,247.3,251.8,256.3,260.6,257.2,252.9
F0_10_Def,S003,wo,0.355,0.495,0.14,4,我,0.355,0.495,0.14,211.1,10.1,233.8,202.3,233.8,203.9,23,1,0.373,0.479,0.105,230.1,223.7,217.7,212.1,206.7,204.7,203.1,202.5,203.6,203.8
F0_10_Def,S004,shen1,0.495,0.715,0.22,5,身体,0.495,0.945,0.45,242.2,10.5,251.8,196.1,196.1,251.8,24,1,0.511,0.699,0.188,200.2,208.4,216.7,224.9,235.8,243.8,242.8,243.6,244.4,249.4
F0_10_Def,S005,ti3,0.715,0.945,0.23,5,身体,0.495,0.945,0.45,211.3,16.6,247.2,175.6,247.2,199.4,26,1,0.731,0.928,0.197,236.1,212.2,191.2,186.5,202.5,218.5,228.6,218.3,209.8,202.8
F0_10_Def,S006,bu,0.945,1.075,0.13,6,不,0.945,1.075,0.13,209.3,9.2,229.5,201.3,201.4,201.3,9,1,0.964,1.056,0.092,205.1,209.7,213.6,217.6,221.6,225.6,226.3,214.6,206.3,202.6
F0_10_Def,S007,tai,1.075,1.255,0.18,7,太,1.075,1.255,0.18,235,4.2,242.9,228.4,228.4,232.1,17,0,1.161,1.239,0.078,229.5,233.8,240.8,241.6,238.1,236.7,235.8,233.2,231.9,231.9
F0_10_Def,S008,shu1,1.255,1.525,0.27,8,舒服,1.255,1.815,0.56,256.3,11.1,265.1,218.3,218.3,264.6,26,1,1.271,1.51,0.238,222.7,228.2,233.5,238.9,244.2,252.6,256.6,258.9,261.5,262.7
F0_10_Def,S009,fu2,1.525,1.815,0.29,8,舒服,1.255,1.815,0.56,221,19.9,259.6,194.2,259.6,216.7,31,1,1.542,1.798,0.257,257.9,256.2,254.3,252.5,250.6,241.5,215,196.5,209.3,220.2
F0_10_Def,11,sil,1.815,1.842,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,
F0_10_Non,1,sil,0,0.045,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,
F0_10_Non,S001,dan4,0.045,0.125,0.08,2,但,0.045,0.125,0.08,245,4.4,252.5,240.5,252.5,240.5,8,0,0.062,0.106,0.044,251.9,250.1,247.3,246,244.5,242.9,241.8,241.7,241.4,240.8
F0_10_Non,S002,shi,0.125,0.275,0.15,3,是,0.125,0.275,0.15,249.9,12.5,260.5,229.7,230.8,247.5,11,1,0.144,0.26,0.115,230.2,233.1,238.2,243.2,248.2,253.2,258.2,260,258.5,251
F0_10_Non,S003,wo,0.275,0.385,0.11,4,我,0.275,0.385,0.11,189.5,13.7,217.3,173.1,217.3,191.1,14,1,0.293,0.37,0.077,212.2,205.7,197.4,190.3,182.6,176.5,173.9,177,181.3,188.2
F0_10_Non,S004,shen1,0.385,0.575,0.19,5,身体,0.385,0.725,0.34,233.6,14.7,240.9,173.3,173.3,237.8,18,1,0.403,0.557,0.154,181.9,199.1,216.3,233.5,239.2,237.4,235.4,236.7,236.3,235.8
F0_10_Non,S005,ti3,0.575,0.725,0.15,5,身体,0.385,0.725,0.34,211.3,15.3,231,187.6,225.2,187.6,11,0,0.595,0.705,0.11,226.5,229.2,229.4,226.2,225.7,223.7,220.4,211.4,199.7,191
F0_10_Non,S006,bu,0.725,0.815,0.09,6,不,0.725,0.815,0.09,176.2,0.5,176.5,175.8,175.8,176.5,1,1,0.793,0.798,0.005,175.9,175.9,176,176.1,176.1,176.2,176.2,176.3,176.4,176.4
F0_10_Non,S007,tai,0.815,0.985,0.17,7,太,0.815,0.985,0.17,215.8,9.9,224.1,179.8,179.8,212.9,16,1,0.831,0.969,0.137,183.9,192.2,200.4,208.7,216.7,221.7,222.5,219,216.4,214.1
F0_10_Non,S008,shu1,0.985,1.225,0.24,8,舒服,0.985,1.455,0.47,235.2,5.8,245,228.1,244.2,242.5,19,0,1.101,1.205,0.104,244.2,238.1,232.5,229.5,228.2,228.8,231.4,235.6,238,241.7
F0_10_Non,S009,fu2,1.225,1.455,0.23,8,舒服,0.985,1.455,0.47,193.7,24,228.8,156,228.8,193.8,20,1,1.244,1.392,0.148,209.5,167.7,158.3,156.8,157.8,180.2,215.1,213.9,204.5,195.7
F0_10_Non,11,sil,1.455,1.481,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,
