fileName,name,duration,intensity1,intensity2,intensity3,intensity4,intensity5,intensity6,intensity7,intensity8,intensity9,intensity10,meanIntensity
F0_10_Def,sil,0.055,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,53,55,57,58,60,56.377
F0_10_Def,dan4,0.08,60,65,69,70,71,71,71,71,71,70,69.322
F0_10_Def,shi,0.22,70,61,55,54,55,54,54,72,73,72,61.188
F0_10_Def,wo,0.14,72,72,72,73,73,73,73,73,72,70,72.394
F0_10_Def,shen1,0.22,70,55,56,55,58,71,70,69,68,66,63.281
F0_10_Def,ti3,0.23,66,55,63,56,43,48,70,71,73,63,60.596
F0_10_Def,bu,0.13,63,56,46,50,56,62,66,70,71,67,60.393
F0_10_Def,tai,0.18,67,52,65,65,61,65,69,69,70,70,64.963
F0_10_Def,shu1,0.27,70,56,54,52,45,66,71,70,70,66,61.379
F0_10_Def,fu2,0.29,66,50,46,46,45,70,71,68,63,--undefined--,57.688
F0_10_Def,sil,0.027,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
F0_10_Non,sil,0.045,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,56,56,57,61,56.981
F0_10_Non,dan4,0.08,61,67,70,71,72,73,73,74,74,74,71.314
F0_10_Non,shi,0.15,74,70,60,59,59,59,72,74,75,75,67.106
F0_10_Non,wo,0.11,75,74,73,74,73,73,73,74,73,71,73.284
F0_10_Non,shen1,0.19,71,58,57,55,70,72,71,70,69,69,65.982
F0_10_Non,ti3,0.15,69,64,64,67,61,58,70,70,62,53,64.257
F0_10_Non,bu,0.09,53,50,47,43,50,63,70,73,74,70,58.993
F0_10_Non,tai,0.17,70,57,61,62,70,72,72,72,72,70,67.424
F0_10_Non,shu1,0.24,70,56,55,54,55,72,71,71,72,71,64.087
F0_10_Non,fu2,0.23,71,56,56,50,51,69,71,68,66,--undefined--,61.36
F0_10_Non,sil,0.026,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
F0_1_Def,sil,0.036,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,44,44,49,45.044
F0_1_Def,tu2,0.119,49,63,75,78,74,68,68,71,72,71,70.047
F0_1_Def,shu1,0.15,71,65,56,54,53,54,67,71,68,55,61.495
F0_1_Def,guan3,0.25,55,35,66,73,73,71,69,68,67,67,64.619
F0_1_Def,li,0.13,67,67,68,70,69,68,68,68,68,67,68.041
F0_1_Def,hao3,0.16,67,66,59,53,53,55,57,66,67,68,60.352
F0_1_Def,xiang4,0.16,68,64,52,51,52,60,67,67,67,65,60.73
F0_1_Def,mei2,0.18,65,67,68,69,70,70,69,68,68,67,68.317
F0_1_Def,you,0.11,67,67,68,68,68,68,69,69,69,69,68.308
F0_1_Def,zhei4,0.16,69,60,45,47,53,64,71,71,67,59,60.073
F0_1_Def,ben3,0.12,59,56,54,53,60,66,66,65,62,59,60.106
F0_1_Def,sp,0.04,59,57,56,53,51,52,54,58,60,61,55.527
F0_1_Def,shu,0.32,61,55,55,55,54,49,64,64,62,51,57.535
F0_1_Def,sil,0.057,51,46,40,36,34,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,40.195
F0_1_Non,sil,0.037,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,52,53,51.788
F0_1_Non,tu2,0.108,53,60,66,63,60,64,70,72,72,70,65.486
F0_1_Non,shu1,0.13,70,64,55,52,60,68,69,68,66,61,63.132
F0_1_Non,guan3,0.23,61,60,72,72,70,69,68,68,67,66,67.693
F0_1_Non,li,0.14,66,67,68,69,69,70,72,70,69,66,69.042
F0_1_Non,hao3,0.12,66,61,57,55,60,66,68,68,68,68,63.197
F0_1_Non,xiang4,0.15,68,64,55,52,51,64,69,69,69,67,62.36
F0_1_Non,mei2,0.14,67,68,68,67,68,69,69,68,69,69,68.17
F0_1_Non,you,0.11,69,70,70,71,71,72,73,73,73,72,71.514
F0_1_Non,zhe4,0.15,72,66,56,53,54,65,69,68,63,57,62.092
F0_1_Non,ben3,0.15,57,58,61,64,63,60,55,54,59,61,59.175
F0_1_Non,shu,0.31,61,54,55,51,51,63,63,63,58,43,57.441
F0_1_Non,sil,0.038,43,40,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,40.602
F0_2_Def,sil,0.035,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,47,47,46.78
