Filename,Segment label,Beginning,End,H1-H2,H1-A1,H1-A2,H1-A3,H1-H2,H1-A1,H1-A2,H1-A3,H1-H2,H1-A1,H1-A2,H1-A3
F0_10_Def,sil,0,0.055,0,0,0,0,0,0,0,0,0,0,0,0
F0_10_Def,d,0.055,0.085,17.16930425,5.055146447,19.90175978,29.19097221,14.91322126,22.40857723,34.63642674,45.5879001,10.93048074,11.68841523,22.71672734,33.70643268
F0_10_Def,an4,0.085,0.135,10.66536969,11.73117984,24.49880199,48.89630216,13.28624834,18.02916237,31.23465657,39.90072057,20.47628732,0,39.75820557,44.99006274
F0_10_Def,sh,0.135,0.315,19.55100302,0,27.56009119,33.263627,4.670819194,-5.540721614,-5.99855844,-13.47889449,13.28803654,21.26794941,21.03816638,29.69807087
F0_10_Def,i,0.315,0.355,2.349532144,2.349532144,22.33109818,53.80257633,2.080227836,2.080227836,21.64557672,56.38161928,3.1527798,6.115139124,18.26070094,53.86929803
F0_10_Def,wo,0.355,0.495,3.816901105,4.095810735,22.2904533,59.07253491,7.233630083,7.233630083,25.07303421,46.23890948,11.54344363,22.70314933,37.9723337,48.37944705
F0_10_Def,sh,0.495,0.615,15.68962184,14.20886074,17.57959902,18.52116991,6.780796093,-4.659499363,-8.227230442,-6.574623593,15.92478709,6.462503368,23.21844776,32.5958128
F0_10_Def,en1,0.615,0.715,6.321285306,6.321285306,34.84604737,47.87602815,10.47000376,26.81502859,38.16730484,58.05513141,19.36444337,0,62.24468484,62.81464466
F0_10_Def,t,0.715,0.855,21.16301008,0,47.0787911,45.65383936,19.88538921,0,30.53258574,26.28580305,-1.290016536,3.019156813,13.20102424,-2.409766876
F0_10_Def,i3,0.855,0.945,10.92918268,25.09556904,38.38707728,36.85434544,-0.309197256,-0.309197256,29.82297335,34.66847333,4.060190267,5.09494679,41.15706145,46.43336109
F0_10_Def,b,0.945,1.025,32.67506384,0,61.22250686,62.15435157,22.28892129,0,45.24313151,42.78392355,9.55155802,6.566713158,9.81430079,26.74150109
F0_10_Def,u,1.025,1.075,-0.814281384,-0.410485957,28.20947291,43.59728795,1.962110053,1.962110053,27.19520812,33.20243266,3.586840938,3.778873313,30.04449019,39.42748227
F0_10_Def,t,1.075,1.135,25.42885457,0.700892662,42.59705931,56.81847063,1.08985241,-1.218243268,3.009264021,9.179083542,3.395030961,19.59839873,24.90850574,34.87471067
F0_10_Def,ai,1.135,1.255,4.13021145,8.617888033,11.51146024,19.815241,15.32271508,30.96359941,26.68802802,39.76047861,10.92018251,37.39526268,26.64907811,45.00899487
F0_10_Def,sh,1.255,1.405,21.93066627,13.21187695,16.5288428,17.94727437,13.00981007,-11.5444897,-9.830115017,-4.525082655,0.437105612,1.872008577,6.968751865,14.6313631
F0_10_Def,u1,1.405,1.525,14.77384142,0.46153432,31.55725333,65.98974701,10.04584175,3.978899124,16.59689051,58.83644723,16.04175593,0,26.23276615,65.38013931
F0_10_Def,f,1.525,1.675,18.84715991,28.85676759,32.89727208,40.2663116,2.098951118,3.287728231,3.183148831,6.234366903,-1.25107755,-1.763176689,4.423940634,8.57625982
F0_10_Def,u2,1.675,1.815,2.851337903,2.851337903,26.71358535,51.00978786,7.7460671,17.21906177,25.17457065,47.02222032,19.60833661,0,32.81424782,58.41164653
F0_10_Def,sil,1.815,1.8416875,21.03893491,1.073499102,14.76721305,39.50598811,0,0,0,0,0,0,0,0
F0_10_Non,sil,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0
F0_10_Non,d,0.045,0.075,26.30371432,28.15666368,30.27241844,33.27689151,7.427719015,9.767322972,30.54171854,33.0564817,5.713515441,5.434974627,23.51632071,35.50668248
F0_10_Non,an4,0.075,0.125,5.608271319,4.367919728,23.6694874,33.09768189,5.659330991,4.01132058,21.8553239,38.86123729,7.850361445,10.93807384,31.63068113,33.75741232
F0_10_Non,sh,0.125,0.245,22.85722693,0,34.83888006,36.58236635,24.27121262,10.20622997,5.53553448,8.544265564,7.326775707,7.326775707,34.41471896,37.84620409
F0_10_Non,i,0.245,0.275,-1.031351843,-1.031351843,21.02948699,44.26453515,-2.303299809,-2.303299809,14.45310485,42.74241874,-2.079932927,-2.079932927,11.60322887,45.50832503
F0_10_Non,wo,0.275,0.385,-0.231981661,-0.231981661,11.23175354,42.40321778,2.974397395,-0.200815721,13.59316996,33.54037799,6.452639411,13.63497076,28.29586263,37.47063929
F0_10_Non,sh,0.385,0.485,15.53064621,16.07457222,12.93190758,16.24613631,14.47568927,-5.767865531,0.296405449,-5.357088402,9.615731337,21.56241897,33.2208785,45.0269324
F0_10_Non,en1,0.485,0.575,2.436091434,29.24251772,23.95501314,36.02569726,2.99250164,2.99250164,28.7131017,36.36027809,13.85736801,33.89095698,51.21396307,49.38833934
F0_10_Non,t,0.575,0.665,22.60837452,22.60837452,39.85629589,45.74372663,7.331591921,0,21.70960735,20.5316033,12.8854144,20.56656195,2.51387557,5.797017933
F0_10_Non,i3,0.665,0.725,5.927579586,6.08496347,33.58287753,35.18612106,0.893946188,0.893946188,32.74702385,40.97989435,13.61253608,2.130780969,34.64454845,56.06480242
F0_10_Non,b,0.725,0.785,20.28235611,0,57.35650511,55.01263087,14.27766761,4.202264075,38.97398789,40.20941339,12.53190442,18.62894476,35.79977174,36.45348711
F0_10_Non,u,0.785,0.815,1.466399397,0.64429478,17.98244266,35.96449563,4.380415982,1.44872339,29.18095019,37.28561746,5.427922831,7.368304387,29.63747532,44.06200401
F0_10_Non,t,0.815,0.885,19.35551424,20.31965387,40.14495195,49.60556651,9.098328018,7.740813589,10.38388695,27.52670051,14.95978363,5.78892502,8.762052466,20.17926179
F0_10_Non,ai,0.885,0.985,14.1926998,19.30964476,25.19310117,41.66563555,6.346635228,3.547937188,20.19302502,32.53196049,9.535773417,22.2195116,25.03534983,40.03848549
F0_10_Non,sh,0.985,1.105,9.354990079,-1.936485617,0.525710358,6.003260799,2.709691359,-23.21733078,-18.49559143,-14.6548057,-1.028734185,-4.569569261,-6.173080616,9.342937959
F0_10_Non,u1,1.105,1.225,4.862328089,34.05219949,20.28428122,56.90672099,3.647468562,33.40787314,22.9929208,50.43175761,2.564970617,30.87230033,33.27796316,48.99741993
F0_10_Non,f,1.225,1.345,17.82978732,32.70776364,36.09776801,40.65658989,21.85117424,21.45164491,17.35637474,26.21282809,17.2011836,16.82503037,18.41978125,23.57647555
F0_10_Non,u2,1.345,1.455,0.355504156,0.355504156,15.80231961,47.94078589,-4.237369583,-5.504776952,4.417943165,29.41020319,0,0,0,0
F0_10_Non,sil,1.455,1.481375,0,0,0,0,0,0,0,0,0,0,0,0
F0_1_Def,sil,0,0.036332052,0,0,0,0,0,0,0,0,0,0,0,0
